Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
15,02-01-2020 00:00,01-01-2020 14:00,01-01-2020 22:28,Bangalore South,266,SEXUAL ASSAULT,77,F,None,Violent Crime,19,No,
19,02-01-2020 20:00,01-01-2020 18:00,02-01-2020 10:42,Bangalore East,480,CYBERCRIME,11,M,None,Other Crime,3,Yes,24-01-2020 20:00
20,03-01-2020 18:00,01-01-2020 19:00,02-01-2020 18:02,Bangalore North,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020 18:00
25,03-01-2020 01:00,01-02-2020 00:00,02-01-2020 20:47,Bangalore South,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,
29,04-01-2020 14:00,01-02-2020 04:00,02-01-2020 19:56,Bangalore South,387,VANDALISM,33,F,Explosives,Other Crime,19,No,
108,07-01-2020 12:00,01-05-2020 11:00,06-01-2020 09:35,Bangalore North,417,ARSON,21,F,Poison,Fire Accident,3,Yes,09-02-2020 12:00
113,07-01-2020 09:00,01-05-2020 16:00,06-01-2020 14:55,Bangalore South,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,08-11-2021 09:00
133,06-01-2020 23:00,01-06-2020 12:00,06-01-2020 19:17,Bangalore South,309,HOMICIDE,18,M,None,Other Crime,2,No,
148,07-01-2020 16:00,01-07-2020 03:00,07-01-2020 22:27,Bangalore North,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,
152,07-01-2020 08:00,01-07-2020 07:00,07-01-2020 16:17,Bangalore North,311,ILLEGAL POSSESSION,67,M,None,Other Crime,16,No,
155,10-01-2020 06:00,01-07-2020 10:00,07-01-2020 19:37,Bangalore West,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,
181,10-01-2020 18:00,01-08-2020 12:00,09-01-2020 07:34,Bangalore West,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,
186,11-01-2020 15:00,01-08-2020 17:00,09-01-2020 08:32,Bangalore East,287,FRAUD,70,F,Other,Other Crime,8,Yes,12-03-2020 15:00
207,11-01-2020 08:00,01-09-2020 14:00,10-01-2020 12:37,Bangalore North,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,Yes,10-02-2020 08:00
214,11-01-2020 05:00,01-09-2020 21:00,10-01-2020 02:45,Bangalore East,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,Yes,13-03-2020 05:00
223,11-01-2020 21:00,01-10-2020 06:00,10-01-2020 19:37,Bangalore West,570,FRAUD,55,F,Poison,Other Crime,11,No,
